fecha;exportaciones_petroleras_musd_fob;exportaciones_no_petroleras_musd_fob;importaciones_musd_fob;remesas_musd
2016-06;774.22;1224.62;1476.33;226.06
2016-06;500.66;1298.44;1527.06;377.12
2016-06;582;921.27;901.23;234.52
2016-06;695.82;865.76;1918.07;381.58
2016-07;948.31;1209.81;1926.25;368.83
2016-07;390.07;889.89;1479.58;434.75
2016-07;386.57;868.58;1313.36;263.18
2016-07;385.19;1072.4;1736.46;206.2
2016-07;888.75;868.23;1386.67;390.21
2016-07;382.03;920.97;1272.85;421.45
2016-07;668.98;878.2;1829.4;221.47
2016-07;610.56;1437.08;1736.23;268.16
2016-07;725.03;947.58;1219.12;308.1
2016-07;649.49;844.18;1945.4;331.63
2016-07;529.01;1031.31;1759.73;261.5
2016-07;694.51;1378.47;1561.55;369.01
2016-07;707.52;760.21;1428.24;273.12
2016-07;784.62;1123.54;1585.81;426.49
2016-07;487.18;1473.31;1528.21;383.09
2016-07;370.31;1146.21;1854.1;439.42
2016-07;615.26;905.94;963.74;351.8
2016-07;514.14;789.01;952.6;271.75
2016-07;548.72;992.61;1923.55;381.93
2016-07;354.24;1155.76;1159.75;365.89
2016-07;936.83;1259.57;1021.59;281.42
2016-07;598.99;1393.71;1459.75;209.51
2016-07;799.84;1356.17;1287.33;204.25
2016-07;732.83;1288.39;1555.83;331.27
2016-07;921.53;1242.87;926.67;402.37
2016-07;647.56;1208.16;1891.86;465.87
2016-07;393.71;848.89;1841.18;294.21
2016-07;752.92;1078.32;1283.82;406.37
2016-07;453.59;1402.35;NA;275.3
2016-07;586.77;829.33;1389.5;330.88
2016-07;435.37;1496.23;1222.97;378.22
2016-08;720.94;1281.24;1252.4;431.15
2016-08;566.81;1409.59;1664.79;269.44
2016-08;672.01;1438.47;1666.8;257.5
2016-08;750.28;1294.07;1144.3;300.93
2016-08;942.32;1054.23;1303.94;344.42
2016-08;514.23;1094.09;1809.49;217.62
2016-08;563.82;1360.85;1126.65;245.06
2016-08;677.5;1152.34;1630.61;384.32
2016-08;706.05;1161.72;1945.74;352.02
2016-08;518.89;930.28;1470.12;350.02
2016-08;726.84;835.09;1551.7;203.54
2016-08;778.14;900.22;1379.38;417.75
2016-08;610.63;857.31;951.36;264.17
2016-08;895.28;864.3;1445.99;368.96
2016-08;478.53;1271.44;1855.78;471.56
2016-08;794.07;1423.62;1711.95;474.87
2016-08;737.11;974.91;1468.73;331.65
2016-08;692.87;936.35;1921.98;238.65
2016-08;927.01;1336.65;1736.97;250.16
2016-08;839.13;1284.28;1473.56;360.15
2016-08;414.86;1272.71;1030.55;394.01
2016-08;536.23;1139.78;1782.75;470.07
2016-08;411.39;804.85;1854.48;205.44
2016-08;432.41;1129.59;1250.96;415.25
2016-08;668.39;1063.86;1308.62;360.62
2016-08;359.21;1456.5;NA;309.3
2016-08;850.12;840.38;1686.51;233.33
2016-08;672.52;1177.51;1693;350.22
2016-08;722.1;1267.92;1289.45;296.91
2016-08;684.2;1387.09;1917.83;477.91
2016-08;697.86;997.43;1351.93;408.89
2016-09;564.01;977.97;1136.95;307.01
2016-09;545.51;1204.7;982.89;412.55
2016-09;459.2;868.91;931.22;456.95
2016-09;780.71;835.15;1356.33;261.86
2016-09;544.75;892.9;1088.96;450.03
2016-09;590.13;1042.7;1828.92;462.32
2016-09;798.48;1009.72;1924.9;209.7
2016-09;909.66;1272.61;1268.39;383.57
2016-09;621.33;759.69;1261.16;323.05
2016-09;692.95;1392.08;1162.75;447.09
2016-09;401.29;1337.93;1420.8;461.75
2016-09;498.95;890.85;1142.59;438.97
2016-09;462.16;1267.39;1118.27;348.32
2016-09;692.5;1113.76;996.66;280.92
2016-09;483.19;1131.86;1896.6;366.37
2016-09;744.24;1156.29;996.91;427.48
2016-09;495.52;1150.38;1119.24;294.15
2016-09;833.16;850.15;NA;420.27
2016-09;844.96;829.09;1936.45;463.92
2016-09;867.28;1212.75;1116.26;417.66
2016-09;452.11;800.32;1877.41;300.51
2016-09;894.81;1107.07;1014.71;334.33
2016-09;474.38;756.78;1775.87;235.44
2016-09;428.23;1188.51;1896.61;336.85
2016-09;524.15;1309.27;1033.67;346.13
2016-09;539.85;1151.84;1900.44;386.55
2016-09;489.23;1388.18;1033.02;277.3
2016-09;858.17;1041.56;1138.12;259.5
2016-09;447.08;1253.92;1059.59;410.44
2016-09;633.68;1425.13;1361.87;457.51
2016-10;412.06;1147.45;1507.53;464.31
2016-10;484.22;1459.31;1214.69;243.57
2016-10;785.5;950.48;1580.11;229.19
2016-10;666.16;1117.01;1855.72;384.65
2016-10;898.36;1314.33;1913.86;317.41
2016-10;857.64;1441.55;1286.75;450.28
2016-10;390.36;1000.2;1234.8;316.14
2016-10;598.52;1016.17;1573.24;395.52
2016-10;799.78;1055.93;1232.15;286.79
2016-10;499.11;1352.98;NA;418.27
2016-10;797.59;1318.67;1909.47;387.03
2016-10;555.49;1343.71;1046.35;317.36
2016-10;932.49;974.66;1149.28;341.18
2016-10;799.79;967.89;1761.41;395.06
2016-10;763.79;1069.62;1025.06;232.57
2016-10;397.28;1341.42;1463.33;389.17
2016-10;617.67;836.32;1231.62;208.56
2016-10;819.69;1456.05;NA;330.68
2016-10;551.41;867.95;1035.35;393.68
2016-10;592.69;1403.5;1126.46;306.53
2016-10;661.49;1027.08;1784.54;242.04
2016-10;763.76;754.58;1679.73;448.58
2016-10;712.19;1278.13;1883.44;425.78
2016-10;715.83;1017.67;1199.06;265.35
2016-10;427.79;1011.6;1159.62;311.3
2016-10;764.2;945.21;1755.16;217.58
2016-10;355.63;815.24;1223.13;324.07
2016-10;537.61;1451.63;914.42;426.67
2016-10;843.16;1284.12;1132.39;223.96
2016-10;842.38;930.85;1206.7;354.99
2016-10;413.83;1080.22;1801.89;332.69
2016-11;417.2;816.91;932.83;411.4
2016-11;429.84;999.8;1152.88;239
2016-11;741.83;1429.42;1550.49;367.39
2016-11;807.43;1222.54;1025.83;234.13
2016-11;804.52;1286.09;1096.27;231.49
2016-11;675.8;1175.97;1533.77;385.75
2016-11;648.41;956.09;1518.68;352.3
2016-11;823.3;1131.64;1155.37;451.78
2016-11;754.69;772.05;1121.68;267.34
2016-11;509.63;789.47;1737.34;387.45
2016-11;640.32;1132.34;1484.08;384
2016-11;573.38;1348.2;1041.2;470.08
2016-11;641.16;985.3;1282.55;468.2
2016-11;797.4;766.84;1212.31;369.11
2016-11;412.23;1436.35;1251.39;272.07
2016-11;771.23;1304.95;1782.48;296.25
2016-11;357.13;1071.56;1031.47;286.44
2016-11;498.92;1359.26;1470.91;274.18
2016-11;682.49;1033.65;1588.97;418.48
2016-11;776.44;1187.39;1746.79;349.2
2016-11;818.05;1317.98;1905.81;288.88
2016-11;699.4;1348.35;1069.48;409.08
2016-11;489.76;1042.11;1000.25;310.2
2016-11;477.75;1448.24;1445.32;301.4
2016-11;746.21;1296.1;1153.87;405.64
2016-11;747;1254.99;1171.52;272.78
2016-11;870.88;1081.21;1856.87;330.32
2016-11;680.65;939.89;1861.38;446.05
2016-11;812.31;828.28;1355.54;431.82
2016-11;940.35;1250.84;1002.54;271.74
2016-12;368.56;816.23;1801.63;301.04
2016-12;782.08;857.98;1427.34;220.49
2016-12;794.62;1141.33;1511.89;394.69
2016-12;445.31;1401.59;1906.56;270.31
2016-12;374.6;1122.24;1483.68;329.49
2016-12;614.25;1401.24;1674.5;326.77
2016-12;410.01;1300.38;1471.35;318.01
2016-12;447.12;1052.21;1246.79;376.21
2016-12;945.66;1397.88;1315.33;305.19
2016-12;565.21;990.01;1920.01;315.4
2016-12;505.1;1290.15;1732.09;449.6
2016-12;692.07;1359.33;1661.92;376.21
2016-12;370.29;1131.09;1206.03;429.57
2016-12;462.91;1369.31;1945.37;273.39
2016-12;760.59;943.55;1598.54;423.38
2016-12;363.77;1361.85;1595.44;278.27
2016-12;482.21;1245.56;1059.49;414.9
2016-12;374.16;1058.38;1213.81;256.3
2016-12;406.3;1347.76;1399.98;380.88
2016-12;666.43;822.44;1050.66;248.6
2016-12;365.95;861.01;1796.4;451.98
2016-12;625.22;894.94;1841.93;416.27
2016-12;556.71;874.67;1761.84;294.3
2016-12;556.5;762.27;1297.48;292.64
2016-12;771.19;877.7;1499.93;351.77
2016-12;595.17;1405.19;1758.15;447.03
2016-12;943.43;890.81;1930.55;215.56
2016-12;653.65;912.06;1219.63;203.46
2016-12;715.31;786.45;1427.11;369.14
2016-12;456.57;1296.75;1775.21;347.06
2016-12;734.89;1298.22;1639.6;232.76
2017-01;526.74;1111.09;1634.93;213.06
2017-01;604.65;1219.64;1622.53;212.6
2017-01;782.59;1472.32;1239.91;313.48
2017-01;386.24;1325.71;979.33;427.27
2017-01;351.97;866.69;1422.43;294.74
2017-01;737.47;783.05;1062.36;238.28
2017-01;571.84;1397.29;1631.34;334.61
2017-01;916.63;1109.22;1638.93;472.7
2017-01;397.15;1368.92;1585.46;263.32
2017-01;843.29;1111.33;1170.57;444.68
2017-01;686.01;968.07;1707.1;377.77
2017-01;944.78;1194.69;1248.22;260.74
2017-01;888.33;996.3;1562.07;292.23
2017-01;702.09;1120.12;956.56;274.58
2017-01;866.89;1098.57;1617.49;330.4
2017-01;832.52;1405.05;1236.45;346.72
2017-01;476.58;1255.28;1603.6;399.57
2017-01;565.02;1103;1047.87;273.22
2017-01;800.06;1476.37;937.96;313.8
2017-01;381.15;1407.39;1638.2;471.24
2017-01;598.83;823.97;1357.1;419.57
2017-01;807.82;850.99;1217.15;275.05
2017-01;747.55;1410.14;1382.5;324.82
2017-01;360.45;1336.02;966.41;408.78
2017-01;946.71;1195.29;1085.17;478.7
2017-01;737.27;1183.86;1020.27;366.04
2017-01;859.18;1357.49;NA;470.51
2017-01;588.87;1237.14;910.75;228.04
2017-01;653.17;759.26;1262.24;346.06
2017-01;474.86;815.24;1478.08;331.72
2017-01;633.38;1227.99;1694.96;316.89
2017-02;435.71;1271.12;1296.08;383.45
2017-02;574.04;958.91;1329.99;223.8
2017-02;403.06;824.81;1722.48;216.76
2017-02;406.18;915.26;1708.94;231.58
2017-02;498.69;1242.89;1004.71;243.57
2017-02;485.97;1016.89;1138.79;378.36
2017-02;844.91;1145.86;1874.49;309.45
2017-02;495.84;1418.93;1846.03;259.81
2017-02;899.39;1336.56;1153.14;282.87
2017-02;545.86;1123.85;1615.2;467.48
2017-02;656.14;1480.22;1100.18;342.51
2017-02;786.24;1059.32;1859.29;225.67
2017-02;850.16;1432.66;1880.57;254.21
2017-02;576.1;1391.38;1567.31;296.91
2017-02;645.47;1018.31;1888.5;346.66
2017-02;732.28;1382.24;1215.81;402.52
2017-02;712.09;987.24;1581.89;443.05
2017-02;402.88;887.85;1375.84;361.54
2017-02;785.82;1108.24;1804.8;317.32
2017-02;665.15;955.25;1053.06;422.05
2017-02;584.72;991.42;1642.9;405.15
2017-02;905.76;1040.05;1083.41;330.05
2017-02;683.09;1256.87;1670.51;341.22
2017-02;371.91;1013.03;1732.59;385.58
2017-02;878.7;836.63;1363.56;251.03
2017-02;525.3;1313.05;1707.93;284.49
2017-02;698.44;987.28;1672.91;323.75
2017-02;640.89;830.38;1697.23;299.43
2017-03;786.28;1262.1;1237.59;476.29
2017-03;404.57;866.66;1590.69;376.95
2017-03;414.38;1101.29;1591.29;283.11
2017-03;619.85;774.1;1145.2;222.7
2017-03;885.07;845.3;1355.21;431.94
2017-03;591.82;907.61;1272.5;420.48
2017-03;559.9;931.31;1159.25;449.04
2017-03;613.97;776.81;NA;211.85
2017-03;887.63;1400.28;1150.02;259.48
2017-03;774.08;1330.89;1222.44;434.39
2017-03;798.11;1315.6;1811.13;428.29
2017-03;510.95;1353.8;1806.5;460.83
2017-03;611.17;937.06;1869.27;464.09
2017-03;651.63;1498.83;1528.78;415.83
2017-03;902.53;1459.96;1171.63;239.36
2017-03;812.52;1073.18;1788.31;274.61
2017-03;711.84;1061.72;1032.81;260.79
2017-03;636.98;1486.7;990.69;400.22
2017-03;939.75;1085.56;1732.57;254.83
2017-03;353.38;1359.32;1918.94;375.55
2017-03;427.31;792.18;1265.43;289.86
2017-03;861.59;1249.56;1023.3;384.63
2017-03;679.36;1112.6;1883.98;438.41
2017-03;583.58;1425.09;1137.95;208.43
2017-03;455.96;1404.29;1423.31;455.19
2017-03;749.42;853.22;1563.86;414.18
2017-03;489.32;1021.3;1607.91;253.73
2017-03;590.1;926.29;NA;388.36
2017-03;393.64;1487.76;1263.79;334.39
2017-03;393.7;956.45;1498.33;468.11
2017-03;538.89;1211.99;946.48;458.31
2017-04;585.97;1045.77;1146.64;342.27
2017-04;821.25;1138.66;1298.57;221.56
2017-04;398.14;1074.08;1388.67;359.04
2017-04;630.63;938.64;1878.73;370.72
2017-04;928.67;774.98;1723.23;356.5
2017-04;659.63;1177.02;1380.51;444.34
2017-04;459.72;1041.35;1002.26;375.52
2017-04;597.56;1332.72;1872.86;380.95
2017-04;357.88;772.24;1071.08;392.79
2017-04;381.13;1426.39;1069.99;425.55
2017-04;503.51;1380.2;1212.19;267.39
2017-04;557.17;960.88;1786.12;240.51
2017-04;567.94;1337.95;1210.04;217.47
2017-04;751.01;1256.66;984.27;209.07
2017-04;733.2;1281.27;1032.95;282.92
2017-04;807.72;817.86;1031.06;294.6
2017-04;398.98;1364.35;1339.59;213.48
2017-04;762.27;1362.72;NA;260.81
2017-04;728.64;913.01;913.21;206.84
2017-04;657.14;1212.1;1617.52;344.07
2017-04;941.96;955.69;931.27;335.25
2017-04;471.22;951.88;1053.55;232.68
2017-04;741.15;1240.55;1078.81;297.23
2017-04;911.38;1436.55;1619.85;352.7
2017-04;433.06;932.43;1125.58;202.46
2017-04;407.66;1253.89;1854.64;222.26
2017-04;894.62;1074.55;1156.31;473.9
2017-04;364.96;1138.68;1615.91;430.2
2017-04;664.66;858.62;1590.27;394.05
2017-04;541.26;1104.45;1007.25;298.79
2017-05;949.68;909.45;1304.37;411.99
2017-05;420.48;1140.27;1800.81;447.95
2017-05;924.41;1464.52;1755.57;258.16
2017-05;604.89;1226.41;904.17;401.45
2017-05;773.86;1161.03;1448.34;313.47
2017-05;755.84;1298.38;1498.45;442.44
2017-05;764.64;1477.76;1351.02;319.25
2017-05;821.58;1144.07;1099.45;220.31
2017-05;860.27;1198.09;1469.58;473.23
2017-05;794.81;1405.8;1795.76;272.31
2017-05;753.06;988.32;1057.8;262.28
2017-05;722.19;1263.62;1185.3;438.48
2017-05;718.65;1385.74;1500.66;307.94
2017-05;932.81;1080.92;1116.53;415.5
2017-05;358.41;953.46;963.59;422.6
2017-05;783.16;1449.53;1163.06;406.46
2017-05;873.86;923.47;1311.77;422.57
2017-05;353.24;925.45;1017.41;344.32
2017-05;814.75;1295.65;1670.94;299.14
2017-05;387.51;1105.47;1791.17;382.46
2017-05;869.6;1167.97;976.92;234.27
2017-05;891.14;1209.62;961.82;355.41
2017-05;762.63;1267.59;1244.82;382.33
2017-05;627.91;808.35;1159.81;475.74
2017-05;826.84;1263.94;1091.54;358.97
2017-05;625.51;1482.87;1893.89;424.62
2017-05;404.77;1140.44;1697.67;424.82
2017-05;823.4;880.37;1188.92;252.53
2017-05;643.74;935.88;1686.21;296.89
2017-05;618.15;759.41;1385.46;446.99
2017-05;872.27;844.83;1740.55;337.19
2017-06;678.5;1445.27;1913.13;411.03
2017-06;428.83;1151.47;1710.45;294.3
2017-06;634.21;955.09;1071.85;289.63
2017-06;725.49;1287.43;NA;288.12
2017-06;484.12;1495.98;1229.9;287.09
2017-06;614.67;945.59;1624.65;391.29
2017-06;523.61;1296.31;1380.51;217.95
2017-06;698.14;1466.29;1006.12;457.82
2017-06;358.42;947.46;1380.47;407.59
2017-06;828.75;882.49;1490.95;318.77
2017-06;542.94;1157.24;1806.43;316.39
2017-06;851.03;1466.06;1412.89;281.5
2017-06;388.91;1421.12;943.66;440.59
2017-06;453.96;1330.04;1427.76;312.18
2017-06;841.05;1402.25;1735.94;473.8
2017-06;765.66;1419.56;1922.73;379.44
2017-06;729.65;1277.08;1268.46;413.81
2017-06;782.81;1372.33;1664.72;407.63
2017-06;452.97;1408.25;1171.56;386.88
2017-06;903.06;1311.97;1372.53;327.93
2017-06;629.83;996.4;1261.8;435.71
2017-06;527.09;946.45;1074.47;262.37
2017-06;596.29;890.49;1003.71;304.1
2017-06;687.69;1166.68;NA;203.27
2017-06;600.68;1167.05;1930.42;436.95
2017-06;632.74;912.19;1620.89;405.54
2017-06;638.23;829.79;1427.52;312.98
2017-06;751.64;1195.26;1592.51;360.48
2017-06;686.42;1172.1;1390.29;300.22
2017-06;903.73;1190.12;1187.6;330.93
2017-07;380.05;1418.98;1076.11;255.33
2017-07;886.32;953.4;1189.22;276.33
2017-07;613.8;957.13;1392.28;299.96
2017-07;356.34;926.85;1769.51;246.52
2017-07;820.26;1087.23;1112.16;352.02
2017-07;917.01;848.64;1327.84;269.08
2017-07;486.58;847.17;1115.48;320.71
2017-07;740.61;1264.54;961.44;223.99
2017-07;878.7;1404.78;904.94;300.44
2017-07;816.65;1111.64;1797;408.74
2017-07;909.07;778.34;1262.83;464.33
2017-07;646.63;866.01;1040.71;218.1
2017-07;800.55;901.63;1918.83;360.56
2017-07;672.02;1073.17;1686.56;465.07
2017-07;935.92;1138.35;1884.71;360.47
2017-07;836.12;838.58;986.35;340.82
2017-07;462.69;1331.18;1552.24;398.54
2017-07;405.16;893.76;1435.74;403.61
2017-07;437.29;1159.68;1796.96;271.63
2017-07;459.98;1220.84;1320.54;362.22
2017-07;729.7;1007.24;1002.8;305.71
2017-07;920.87;942.41;991.04;394.62
2017-07;570.67;1178.82;1206.41;351.09
2017-07;436.16;1324.45;1205.31;336.91
2017-07;912.55;1467.45;1538.58;402.87
2017-07;837.75;1205.69;1383.61;233.72
2017-07;848.93;1214.01;1062.25;308.4
2017-07;465.95;1380.62;1146.97;359.85
2017-07;499.58;956.79;1634.47;365.13
2017-07;713.19;928.38;1753.6;384.01
2017-07;501.19;1173.48;1667.69;386.63
2017-08;711.9;1076.17;1118.77;471.71
2017-08;432.04;1113.74;1435.2;389.08
2017-08;535.03;1095.85;1462.76;297.52
2017-08;361.41;1239;1245.45;280.91
2017-08;938.11;769.8;1877.24;318.19
2017-08;779.44;1007.95;1163.4;243.9
2017-08;370.46;1086.55;1731.78;421.11
2017-08;924.99;1238.64;1776.38;350.51
2017-08;914.62;975.65;1378.38;231.79
2017-08;681.66;1389.47;1536.49;459.16
2017-08;488.56;1441.16;1630.85;463.18
2017-08;737.65;941.62;951.35;436.29
2017-08;885.88;888.81;962.94;422.03
2017-08;426.45;763.89;1130.33;278.48
2017-08;573.94;1468.93;1025.34;249.93
2017-08;550.39;1100.64;1698.2;273.33
2017-08;893.91;988.03;1544.06;476.06
2017-08;642.03;1334.39;1640.72;204.39
2017-08;923.52;1411.17;1351.37;358.12
2017-08;714.39;1037.33;1880.16;456.48
2017-08;415.1;962.26;955.18;416.78
2017-08;410.56;1487.37;938.58;405.72
2017-08;453;918.87;1034.21;379.9
2017-08;855.6;824.03;1239.89;476.16
2017-08;893.42;1417.8;1874.54;448.22
2017-08;800.59;766.28;1609.61;477.05
2017-08;818.21;1294.21;1691.37;365.03
2017-08;890.23;1012.85;983.92;358.32
2017-08;716.82;972.24;1663.97;364.1
2017-08;763.46;848.18;1255.28;218.23
2017-08;551.12;911.85;1205.25;216.1
2017-09;900.58;885.62;1079.49;306.32
2017-09;375.62;901.53;1463.21;306.82
2017-09;846.74;1303.73;1521.81;295.46
2017-09;462.62;1381.57;1322.1;387.38
2017-09;355.84;1310.57;1098.88;405.86
2017-09;721.97;1388.05;1040.34;460.99
2017-09;775.45;1313.84;942.11;202.63
2017-09;446.23;926.13;1646.43;371.82
2017-09;669.14;752.91;1408.27;449.34
