id_transaccion;fecha_venta;id_provincia;id_sector;monto_ventas_musd
TX-100059;2024-04;5;S01;128.81
TX-100060;2026-07;5;S01;69.78
TX-100061;2040-02;4;S03;25.19
TX-100062;2028-11;2;S01;88.25
TX-100063;2024-02;7;S03;99.65
TX-100064;2019-10;5;S04;138.43
TX-100065;2022-02;5;S03;130.4
TX-100066;2030-04;5;S03;68.09
TX-100067;2020-11;1;S02;36.22
TX-100068;2022-05;2;S03;95.32
TX-100069;2036-09;2;S01;28.45
TX-100070;2030-10;2;S02;123.74
TX-100071;2035-03;3;S02;126.48
TX-100072;2023-01;6;S02;49.22
TX-100073;2033-11;6;S05;119.05
TX-100074;2035-06;5;S04;21.08
TX-100075;2030-05;7;S02;78.21
TX-100076;2036-05;5;S04;21.09
TX-100077;2028-10;4;S05;56.2
TX-100078;2041-04;3;S03;105.52
TX-100079;2036-01;6;S04;62.16
TX-100080;2021-03;8;S04;45.23
TX-100081;2034-03;2;S03;64.26
TX-100082;2027-09;7;S03;146.08
TX-100083;2032-04;4;S01;9.74
TX-100084;2023-11;8;S05;7.39
TX-100085;2034-09;1;S02;132.65
TX-100086;2039-03;8;S03;20.73
TX-100087;2021-12;5;S01;149.59
TX-100088;2035-02;8;S01;85.45
TX-100089;2039-07;6;S03;10.27
TX-100090;2039-06;2;S03;39.7
TX-100091;2034-02;2;S01;148.09
TX-100092;2029-03;2;S03;50.68
TX-100093;2020-04;3;S05;10.92
TX-100094;2025-04;7;S04;52.87
TX-100095;2027-07;5;S01;57.34
TX-100096;2028-06;5;S01;78.56
TX-100097;2031-12;5;S03;69.07
TX-100098;2024-06;7;S01;82.65
TX-100099;2032-12;1;S02;92.43
TX-100100;2020-09;1;S05;87.37
TX-100101;2023-08;2;S05;7.13
TX-100102;2034-06;4;S02;127.84
TX-100103;2038-10;6;S02;115.68
TX-100104;2020-01;6;  S01  ;17.11
TX-100105;2036-10;1;S04;5.98
TX-100106;2043-05;2;S05;35.47
TX-100107;2019-02;7;S01;146.08
TX-100108;2031-07;7;S03;110.92
TX-100109;2037-06;4;S05;137.13
TX-100110;2035-02;2;S03;75.43
TX-100111;2035-08;5;S05;56.53
TX-100112;2041-05;2;S03;30.78
TX-100113;2017-08;5;S05;102.33
TX-100114;2036-12;6;S02;113.74
TX-100115;2029-09;5;S04;29.21
TX-100116;2019-02;3;S05;96.47
TX-100117;2033-07;1;S03;17.18
TX-100118;2018-01;5;S03;7.61
TX-100119;2032-01;7;S05;127.77
TX-100120;2042-10;1;S03;73.95
TX-100121;2035-09;1;S01;77.32
TX-100122;2034-11;4;S03;31.82
TX-100123;2035-11;6;S03;79.67
TX-100124;2029-04;5;S03;10.69
TX-100125;2030-04;5;S02;77.85
TX-100126;2034-11;8;S02;30.84
TX-100127;2024-11;5;S01;19.5
TX-100128;2040-01;4;S01;71.55
TX-100129;2030-09;4;S02;78.26
TX-100130;2031-09;3;S04;120.88
TX-100131;2033-05;3;S01;35.52
TX-100132;2023-02;5;S03;77.53
TX-100133;2036-12;2;S04;83.77
TX-100134;2026-06;7;  S01  ;111.54
TX-100135;2016-02;8;S04;95.13
TX-100136;2041-08;3;S02;52.88
TX-100137;2026-02;4;S03;29.87
TX-100138;2021-07;8;S02;68.43
TX-100139;2027-08;6;S03;142.65
TX-100140;2030-08;5;S03;30.37
TX-100141;2027-11;1;S05;20.37
TX-100142;2042-06;4;S05;111.1
TX-100143;2028-06;5;S02;144.08
TX-100144;2030-12;7;S04;142.89
TX-100145;2029-09;7;S04;124.52
TX-100146;2031-07;7;S03;40
TX-100147;2022-02;7;S05;86.91
TX-100148;2018-07;7;S04;31.58
TX-100149;2019-01;4;S03;146.9
TX-100150;2039-11;8;S03;14.49
TX-100151;2034-10;5;S01;101.92
TX-100152;2040-02;8;S02;37.02
TX-100153;2018-03;7;S01;109.88
TX-100154;2027-02;8;S01;125.63
TX-100155;2040-09;6;S03;60.56
TX-100156;2022-09;1;S04;82.28
TX-100157;2030-01;1;S01;35.19
TX-100158;2030-04;7;S05;101.4
TX-100159;2019-01;5;S04;63.4
TX-100160;2018-12;3;S02;127.2
TX-100161;2036-01;8;S05;115.63
TX-100162;2024-11;8;S02;110.64
TX-100163;2017-12;3;S02;117.03
TX-100164;2027-06;1;S05;39.32
TX-100165;2032-12;4;S02;131.36
TX-100166;2024-11;7;S05;143.65
TX-100167;2037-09;5;S02;37.34
TX-100168;2039-02;1;S04;94.75
TX-100169;2019-09;1;S04;110.65
TX-100170;2017-07;6;S02;44.46
TX-100171;2024-04;2;S05;10.79
TX-100172;2039-07;5;S05;138.13
TX-100173;2021-04;5;S03;18.03
TX-100174;2034-01;3;S05;93.44
TX-100175;2021-12;5;S02;107.51
TX-100176;2037-08;4;S02;61.47
TX-100177;2025-06;3;S02;122.08
TX-100178;2024-07;1;S03;17.38
TX-100179;2016-07;5;S05;110.61
TX-100180;2022-01;6;S04;116.15
TX-100181;2021-03;7;S05;131.23
TX-100182;2026-03;3;S02;86.05
TX-100183;2042-05;7;S03;39.04
TX-100184;2033-04;3;S05;96.41
TX-100185;2027-05;6;S02;123.22
TX-100186;2033-02;4;S01;73.44
TX-100187;2019-02;6;S03;20.54
TX-100188;2021-05;6;S01;59.64
TX-100189;2029-01;8;S05;102.22
TX-100190;2042-05;7;S05;49.87
TX-100191;2029-05;6;S03;60.3
TX-100192;2017-05;2;S01;9.17
TX-100193;2024-11;6;S05;117.14
TX-100194;2025-10;5;S03;42.56
TX-100195;2033-03;4;S02;51.72
TX-100196;2023-09;8;S05;78.09
TX-100197;2019-03;1;S03;148.19
TX-100198;2022-01;2;S04;95.71
TX-100199;2037-12;2;S04;123.55
TX-100200;2024-04;7;S04;58.16
TX-100201;2024-10;2;S04;35.3
TX-100202;2042-02;7;S02;132.86
TX-100203;2030-09;5;S05;107.12
TX-100204;2029-04;2;S04;76.36
TX-100205;2020-05;3;S03;144.14
TX-100206;2020-03;8;S03;77.72
TX-100207;2029-03;7;S02;5.18
TX-100208;2022-05;7;S03;9.73
TX-100209;2041-06;6;S02;69.17
TX-100210;2031-11;1;S02;114.57
TX-100211;2030-03;5;S03;131.49
TX-100212;2017-04;5;S01;136.63
TX-100213;2019-05;2;S04;145.4
TX-100214;2039-08;6;S05;37.75
TX-100215;2022-12;8;S05;59.57
TX-100216;2023-11;7;S04;46.83
TX-100217;2033-12;6;S02;133.86
TX-100218;2038-10;5;S04;108.92
TX-100219;2032-09;6;S05;34.96
TX-100220;2029-02;3;  S01  ;51.21
TX-100221;2041-02;7;S05;16.55
TX-100222;2042-04;2;S02;48.24
TX-100223;2033-03;1;S02;100.31
TX-100224;2034-07;5;S04;46.11
TX-100225;2023-03;3;S03;132.36
TX-100226;2024-03;3;S05;121.13
TX-100227;2036-02;6;S04;69.9
TX-100228;2033-12;8;S02;32.99
TX-100229;2025-09;1;S04;124.32
TX-100230;2023-04;3;S01;104.17
TX-100231;2016-05;2;S02;52.44
TX-100232;2028-08;4;S05;21.07
TX-100233;2041-05;3;S05;53.51
TX-100234;2019-11;6;S03;91.04
TX-100235;2029-10;5;S05;138.53
TX-100236;2024-04;7;S04;47.92
TX-100237;2016-09;3;S03;51.7
TX-100238;2026-06;7;S01;101.59
TX-100239;2038-03;1;S04;47.27
TX-100240;2036-03;6;S01;97.65
TX-100241;2016-12;4;S05;20.98
TX-100242;2037-09;6;S04;64.56
TX-100243;2016-11;7;S01;57.37
TX-100244;2026-10;5;S03;45.65
TX-100245;2024-03;7;S04;106.09
TX-100246;2042-10;2;S04;84.3
TX-100247;2029-07;4;S03;55.76
TX-100248;2019-12;5;S02;121
TX-100249;2029-11;2;S02;91.63
TX-100250;2031-08;5;S04;24.49
TX-100251;2029-01;3;S02;140.15
TX-100252;2030-02;1;S05;98.91
TX-100253;2018-01;7;S05;49.32
TX-100254;2024-05;6;S03;5.7
TX-100255;2032-11;1;S02;130.45
TX-100256;2037-01;6;S05;107.56
TX-100257;2025-08;7;S01;22.07
TX-100258;2026-05;6;S04;113.44
TX-100259;2021-03;4;S04;65.42
TX-100260;2020-05;5;S01;16.16
TX-100261;2038-08;2;S02;23.07
TX-100262;2042-12;4;S03;12.33
TX-100263;2026-03;7;S01;113.94
TX-100264;2025-01;2;S03;70.78
TX-100265;2024-11;4;S05;22.55
TX-100266;2035-12;4;S01;135.94
TX-100267;2017-12;7;S01;62.84
TX-100268;2034-01;2;S02;130.11
TX-100269;2040-12;4;S03;119.79
TX-100270;2041-08;3;S01;31.6
TX-100271;2031-11;3;S05;87.07
TX-100272;2019-04;5;S02;146.38
TX-100273;2040-05;6;S02;95.73
TX-100274;2018-05;1;S03;92.45
TX-100275;2016-03;5;S01;46.94
TX-100276;2018-06;2;S03;48.78
TX-100277;2031-03;4;S04;45.39
TX-100278;2020-09;3;S01;125.93
TX-100279;2043-05;8;S04;108.24
TX-100280;2016-02;2;S01;129.98
TX-100281;2020-05;2;S01;60.45
TX-100282;2040-12;8;S02;142.21
TX-100283;2038-01;4;S02;58.44
TX-100284;2023-08;3;S04;34.58
TX-100285;2018-11;4;S05;8.46
TX-100286;2027-02;3;S04;80.97
TX-100287;2023-05;8;S05;122.94
TX-100288;2033-04;5;S05;35.52
TX-100289;2036-02;6;S01;107.06
TX-100290;2032-12;2;S04;114.35
TX-100291;2016-02;3;S03;82.61
TX-100292;2019-07;7;S02;77.16
TX-100293;2016-12;2;S02;129.43
TX-100294;2031-08;6;S03;80.64
TX-100295;2021-02;4;S05;96.76
TX-100296;2027-06;6;S04;46.67
TX-100297;2040-08;7;S04;102.51
TX-100298;2018-12;7;S03;111.22
TX-100299;2028-10;4;S01;104.63
TX-100300;2040-11;4;S02;41.66
TX-100301;2018-09;2;S05;45.25
TX-100302;2040-02;8;S05;135.46
TX-100303;2024-12;4;S01;77.21
TX-100304;2016-11;7;S04;98.52
TX-100305;2042-01;1;S04;72.9
TX-100306;2026-07;1;S04;76.04
TX-100307;2038-02;6;S04;46.18
TX-100308;2034-10;2;S05;117.43
TX-100309;2036-10;5;S04;55.93
TX-100310;2023-11;6;S02;11.06
TX-100311;2032-03;2;S03;105.25
TX-100312;2018-12;6;S04;73.38
TX-100313;2016-08;5;S05;56.15
TX-100314;2029-12;7;S05;43.53
TX-100315;2034-06;8;S01;56.93
TX-100316;2029-04;5;S04;146.17
TX-100317;2038-10;7;S04;12.83
TX-100318;2027-03;5;S02;30.58
TX-100319;2018-12;2;S01;95.91
TX-100320;2036-09;2;S04;24.37
TX-100321;2022-11;3;S03;87.97
TX-100322;2035-12;3;S01;128.69
TX-100323;2040-04;3;S03;91.3
TX-100324;2042-07;8;S02;70.37
TX-100325;2018-09;1;S04;107.15
TX-100326;2041-10;2;S02;64.78
TX-100327;2038-11;6;S01;131.71
TX-100328;2029-05;4;S04;82.95
TX-100329;2020-08;4;S05;140.38
TX-100330;2030-11;5;S05;134.8
TX-100331;2042-05;7;S05;80.51
TX-100332;2029-06;8;S03;124.54
TX-100333;2023-11;4;S03;72.52
TX-100334;2042-01;6;S04;36.44
TX-100335;2025-11;1;S03;123.02
TX-100336;2024-01;5;S05;133.44
TX-100337;2019-08;4;S03;124.33
TX-100338;2032-04;7;S01;24.91
TX-100339;2039-12;4;S03;17.15
TX-100340;2023-12;6;S04;128
TX-100341;2040-11;3;S01;34.12
TX-100342;2035-05;7;S04;37.11
TX-100343;2032-11;8;S01;17.92
TX-100344;2032-12;1;S02;52.52
TX-100345;2018-09;3;S03;13.92
TX-100346;2040-09;7;  S01  ;101.1
TX-100347;2042-04;6;S01;13
TX-100348;2022-07;3;S04;47.63
TX-100349;2020-05;8;S01;102.66
TX-100350;2026-03;1;S02;20.65
TX-100351;2032-10;4;S05;21.2
TX-100352;2021-11;7;S04;86.79
TX-100353;2034-07;3;S01;5.06
TX-100354;2016-12;8;S04;128.79
TX-100355;2019-08;5;S05;104.16
TX-100356;2018-10;2;S02;109.94
TX-100357;2022-01;7;S05;79.82
TX-100358;2022-06;4;S04;108.66
TX-100359;2021-11;1;S02;52.97
TX-100360;2037-09;1;  S01  ;27.23
TX-100361;2020-06;5;S02;40.24
TX-100362;2019-01;8;S04;126.01
TX-100363;2032-05;1;S05;98.01
TX-100364;2022-08;5;S02;97.2
TX-100365;2042-07;1;S04;118.71
TX-100366;2025-12;5;S04;66.68
TX-100367;2041-05;3;S04;14.63
TX-100368;2042-12;5;S05;97.93
TX-100369;2029-10;6;S04;43.45
TX-100370;2025-04;1;S01;127.65
TX-100371;2029-02;4;S04;85.6
TX-100372;2026-10;3;  S01  ;109.76
TX-100373;2033-10;7;S02;136.56
TX-100374;2021-09;2;S02;43.88
TX-100375;2035-06;2;S04;50.05
TX-100376;2022-11;8;  S01  ;134.29
TX-100377;2041-06;3;S02;89.36
TX-100378;2031-10;5;S04;48.01
TX-100379;2017-09;8;S01;81.91
TX-100380;2033-07;1;S01;56.63
TX-100381;2025-01;6;S02;59.05
TX-100382;2034-02;2;S03;24.84
TX-100383;2025-10;6;S02;146.8
TX-100384;2025-11;8;S01;126.3
TX-100385;2018-05;2;  S01  ;144.52
TX-100386;2039-09;2;S05;66.59
TX-100387;2017-10;8;S03;47.49
TX-100388;2036-01;2;S03;24.12
TX-100389;2020-01;7;S04;11.35
TX-100390;2034-08;7;S03;86.3
TX-100391;2034-09;3;S03;123.16
TX-100392;2022-02;5;S01;120.49
TX-100393;2022-01;3;S04;19.66
TX-100394;2026-09;5;S03;6.41
TX-100395;2022-02;7;S03;114.96
TX-100396;2029-01;6;S03;86.89
TX-100397;2023-04;7;S02;77.01
TX-100398;2025-12;2;S03;10.93
TX-100399;2036-04;4;S01;72.3
TX-100400;2018-11;5;S03;23.87
TX-100401;2031-05;4;S03;20.66
TX-100402;2023-05;4;S05;17.12
TX-100403;2036-10;2;S02;118.9
TX-100404;2026-10;2;S05;9.61
TX-100405;2035-01;4;S01;5.49
TX-100406;2022-07;6;S01;95.97
TX-100407;2022-01;8;S01;136.29
TX-100408;2043-03;8;S02;24.81
TX-100409;2038-08;4;S04;31.86
TX-100410;2019-06;4;S01;83.32
TX-100411;2016-07;1;S02;116.62
TX-100412;2037-03;1;S05;34.56
TX-100413;2019-03;6;S03;69.37
TX-100414;2036-08;4;S02;10.56
TX-100415;2019-06;3;S05;26.53
TX-100416;2026-09;4;S02;97.92
TX-100417;2041-10;5;S05;55.73
TX-100418;2041-10;2;S04;39.02
TX-100419;2019-12;5;S05;46.42
TX-100420;2029-05;3;S02;70.28
TX-100421;2033-03;2;S02;139.02
TX-100422;2036-05;7;S01;146.19
TX-100423;2029-09;7;S01;36.46
TX-100424;2036-05;8;S04;119.61
TX-100425;2019-12;2;S02;21.68
TX-100426;2028-05;5;S05;109.81
TX-100427;2038-07;5;S02;80.22
TX-100428;2040-08;3;S02;94.04
TX-100429;2037-04;5;S02;44.69
TX-100430;2032-10;7;S05;90.01
TX-100431;2029-04;3;S03;33.68
TX-100432;2023-04;2;S04;64.41
TX-100433;2027-12;5;S02;48.71
TX-100434;2023-07;1;S01;48.02
TX-100435;2026-10;7;S03;141.41
TX-100436;2042-09;1;S01;50.57
TX-100437;2026-08;3;S02;102.87
TX-100438;2034-07;2;S01;33.21
TX-100439;2040-06;4;S04;117.83
TX-100440;2032-02;1;S02;75.99
TX-100441;2030-09;5;S01;57.11
TX-100442;2039-10;8;S03;86.92
TX-100443;2028-01;5;S02;29.55
TX-100444;2017-01;6;S05;121.14
TX-100445;2038-01;2;S05;29.07
TX-100446;2017-08;6;S01;31.58
TX-100447;2038-08;5;S05;65.79
TX-100448;2019-03;4;S03;34.06
TX-100449;2028-02;7;S05;118.93
TX-100450;2037-09;8;S05;80.88
TX-100451;2029-03;5;S02;100.18
TX-100452;2039-10;8;S02;33.59
TX-100453;2042-03;5;S04;8
TX-100454;2023-03;2;S01;147.95
TX-100455;2034-05;7;S05;46.4
TX-100456;2038-02;8;S01;80.08
TX-100457;2042-12;1;S03;123.55
TX-100458;2021-04;1;S01;35.49
TX-100459;2036-03;4;S01;26.48
TX-100460;2020-09;8;S01;45.42
TX-100461;2030-09;8;S04;15.13
TX-100462;2029-05;1;S05;115.38
TX-100463;2042-04;4;S04;16.43
TX-100464;2024-11;3;S03;50.9
TX-100465;2037-02;8;S01;145.03
TX-100466;2026-06;2;S01;111.93
TX-100467;2018-12;6;S04;148.48
TX-100468;2029-07;5;S05;111.23
TX-100469;2038-05;7;S02;74.78
TX-100470;2037-09;5;S05;64.66
TX-100471;2042-10;7;S05;40.78
TX-100472;2030-06;7;S01;11.8
TX-100473;2025-06;2;S05;9.45
TX-100474;2037-10;1;S02;71.84
TX-100475;2040-06;6;S01;148.98
TX-100476;2041-04;1;S01;86.48
TX-100477;2034-12;3;S01;127.79
TX-100478;2039-01;8;S01;36.21
TX-100479;2041-11;1;S04;145.77
TX-100480;2039-01;4;S02;22.3
TX-100481;2028-03;4;S05;30.21
TX-100482;2028-09;7;S05;103.13
TX-100483;2025-05;7;S03;26.94
TX-100484;2041-08;1;S01;75.26
TX-100485;2035-12;4;S02;77.99
TX-100486;2041-03;3;S03;14.41
TX-100487;2026-10;6;S04;21
TX-100488;2036-04;5;S03;16.12
TX-100489;2022-03;2;S03;78.44
TX-100490;2038-12;1;S01;139.53
TX-100491;2033-10;2;S02;82.55
TX-100492;2020-01;8;S04;9.52
TX-100493;2017-07;6;S01;145.15
TX-100494;2036-01;8;S04;118.17
TX-100495;2038-03;3;S02;122.57
TX-100496;2028-08;3;S01;9.04
TX-100497;2017-11;4;S02;63.89
TX-100498;2025-04;7;S03;44.75
TX-100499;2026-11;3;S04;33.09
TX-100500;2016-10;4;S05;66.73
TX-100501;2025-10;4;S02;29.27
TX-100502;2028-04;7;S05;43.8
TX-100503;2019-09;3;S02;82.51
TX-100504;2032-08;7;S04;97.83
TX-100505;2035-01;2;S03;30.2
TX-100506;2038-02;7;S04;137.59
TX-100507;2039-08;8;S05;112.9
TX-100508;2026-08;2;S03;19.24
TX-100509;2038-03;1;S05;29.61
TX-100510;2038-05;1;S03;49.08
TX-100511;2038-03;3;S03;122.99
TX-100512;2040-12;4;S03;60.25
TX-100513;2033-04;8;S02;73.64
TX-100514;2030-03;1;S03;67.31
TX-100515;2021-08;6;S02;114.24
TX-100516;2041-10;3;S05;129.54
TX-100517;2018-02;2;S03;130.11
TX-100518;2024-05;7;S03;80.44
TX-100519;2029-04;7;S02;11.94
TX-100520;2016-12;5;S04;59.55
TX-100521;2024-01;4;S01;104.61
TX-100522;2036-10;3;S01;92.22
TX-100523;2028-10;6;S04;65.78
TX-100524;2029-09;5;S03;21.03
TX-100525;2033-03;5;S01;118.98
TX-100526;2039-06;2;S04;13.65
TX-100527;2031-06;7;S03;96.77
TX-100528;2018-06;7;S01;132.87
TX-100529;2039-03;8;S05;77.32
TX-100530;2027-06;6;S04;29.1
TX-100531;2021-07;7;S05;76.39
TX-100532;2040-09;3;S02;83.5
TX-100533;2032-04;8;  S01  ;36.28
TX-100534;2036-04;8;S04;121.94
TX-100535;2025-06;8;S04;86.21
TX-100536;2025-02;4;S01;119.5
TX-100537;2042-11;3;S02;87.03
TX-100538;2016-08;2;S05;70.73
TX-100539;2038-01;3;S01;126.8
TX-100540;2028-04;6;S02;143.49
TX-100541;2020-07;7;S02;142.29
TX-100542;2020-03;8;S01;99.42
TX-100543;2040-01;1;S03;78.49
TX-100544;2030-01;2;S04;98.92
TX-100545;2016-01;2;S01;71.67
TX-100546;2025-08;5;S04;12.15
TX-100547;2033-11;1;S02;100.96
TX-100548;2034-02;8;S01;145.23
TX-100549;2027-08;7;S05;54.45
TX-100550;2026-11;6;S01;7.46
TX-100551;2037-03;1;S05;57.59
TX-100552;2034-03;1;S02;87.66
TX-100553;2019-09;4;S03;121.28
TX-100554;2032-10;5;S02;23.43
TX-100555;2032-12;5;S03;97.53
TX-100556;2037-04;5;S01;136.08
TX-100557;2041-09;4;S04;58.14
TX-100558;2020-09;8;  S01  ;90.01
TX-100559;2022-12;5;S01;23.53
TX-100560;2027-12;7;S03;128.66
TX-100561;2027-12;7;S02;111.2
TX-100562;2018-12;4;S02;59.44
TX-100563;2021-05;3;S01;108.27
TX-100564;2035-04;1;S01;63.57
TX-100565;2027-08;4;S05;14.58
TX-100566;2020-04;8;S01;125.05
TX-100567;2030-07;1;S04;119.68
TX-100568;2022-04;3;S01;56.36
TX-100569;2021-06;4;S05;38.96
TX-100570;2038-01;4;S03;104.4
TX-100571;2038-02;7;S02;133.15
TX-100572;2037-06;8;S02;21.9
TX-100573;2030-08;4;S05;35.81
TX-100574;2023-10;8;S05;71.5
TX-100575;2018-03;8;S03;100.66
TX-100576;2030-01;8;S04;34.67
TX-100577;2031-06;5;S01;21.13
TX-100578;2028-07;4;S01;136.64
TX-100579;2033-11;7;S04;57.55
TX-100580;2023-08;1;S01;17.52
TX-100581;2016-04;4;S03;69.48
TX-100582;2042-01;4;S03;86.41
TX-100583;2021-01;7;S05;113.39
TX-100584;2032-01;7;S03;77.62
TX-100585;2039-03;1;S01;140.52
TX-100586;2016-06;8;S02;148.85
TX-100587;2037-09;5;S02;102.1
TX-100588;2019-11;1;S03;119.21
TX-100589;2022-03;1;S05;65.09
TX-100590;2026-06;3;S05;51.88
TX-100591;2019-09;7;S02;38.21
TX-100592;2036-12;2;S02;16.86
TX-100593;2041-05;8;S03;112.72
TX-100594;2030-11;3;S02;49.37
TX-100595;2017-06;1;S03;87.97
TX-100596;2034-07;6;S02;75.63
TX-100597;2028-05;3;S04;8.99
TX-100598;2038-05;4;S03;73.45
TX-100599;2019-02;7;S02;140.1
TX-100600;2029-12;5;S02;34.99
TX-100601;2027-03;6;S03;44.88
TX-100602;2041-08;5;S02;110.97
TX-100603;2027-01;6;S03;59.14
TX-100604;2025-04;5;S01;31.32
TX-100605;2017-11;8;S01;29.35
TX-100606;2017-04;4;S01;34.41
TX-100607;2037-12;8;S02;67.57
TX-100608;2024-09;1;S02;140.21
TX-100609;2016-12;8;S01;86.09
TX-100610;2040-12;1;S02;102.34
TX-100611;2016-02;3;S01;89.78
TX-100612;2032-08;3;S01;90.62
TX-100613;2017-05;5;S01;18.58
TX-100614;2032-10;1;S02;100.14
TX-100615;2025-09;4;S03;140.69
TX-100616;2025-12;2;S03;47.84
TX-100617;2025-06;4;S04;34.79
TX-100618;2036-07;2;S03;56.74
TX-100619;2023-11;6;S03;131.91
TX-100620;2016-09;5;S03;118.78
TX-100621;2033-12;1;S04;146.46
TX-100622;2035-01;3;S01;115.25
TX-100623;2031-08;8;S03;139.19
TX-100624;2033-08;4;S01;120.64
TX-100625;2041-07;7;S01;128.94
TX-100626;2016-09;7;S03;115.07
TX-100627;2020-10;7;S04;99.2
TX-100628;2039-12;7;S03;92.94
TX-100629;2038-10;3;S05;16.35
TX-100630;2019-12;7;S04;62.89
TX-100631;2036-05;3;S01;14.75
TX-100632;2023-05;3;S03;127.19
TX-100633;2039-09;7;S05;87.59
TX-100634;2035-12;6;  S01  ;86.6
TX-100635;2016-11;7;S03;64.55
TX-100636;2040-05;3;S04;11.89
TX-100637;2035-12;2;S02;120.12
TX-100638;2022-09;7;S02;130.4
TX-100639;2017-09;3;S05;5.81
TX-100640;2033-08;2;S02;15.5
TX-100641;2034-11;2;S02;114.32
TX-100642;2039-11;2;S05;19.99
TX-100643;2039-03;1;S02;81.41
TX-100644;2019-02;3;S04;107.53
TX-100645;2034-09;4;S04;145.29
TX-100646;2036-11;2;S03;54.9
TX-100647;2042-04;7;S04;8.35
TX-100648;2028-11;7;S04;74.82
TX-100649;2034-09;8;S04;118.59
TX-100650;2018-09;4;S02;93.99
TX-100651;2034-01;7;S04;23.74
TX-100652;2029-01;6;S01;47.35
TX-100653;2024-03;8;S04;94.93
TX-100654;2034-09;8;S04;146.84
TX-100655;2041-01;4;S01;87.23
TX-100656;2026-09;5;S03;124.03
TX-100657;2023-11;5;S05;110.07
TX-100658;2031-05;2;S01;5.43
TX-100659;2025-02;6;  S01  ;88.47
TX-100660;2030-11;6;S02;10.25
TX-100661;2034-02;5;S05;31.69
TX-100662;2033-05;1;S05;93.22
TX-100663;2022-06;6;S01;52.64
TX-100664;2040-11;2;S02;27.28
TX-100665;2021-07;6;  S01  ;145.28
TX-100666;2035-07;4;S02;116.83
TX-100667;2028-12;4;S04;72.71
TX-100668;2023-06;3;S02;149.46
TX-100669;2030-11;5;S01;140.87
TX-100670;2020-11;4;S05;132.48
TX-100671;2043-03;6;S05;129.86
TX-100672;2029-06;6;S04;69.72
TX-100673;2020-09;5;S02;39.24
TX-100674;2031-07;2;S01;78.56
TX-100675;2033-05;1;S04;99.17
TX-100676;2029-10;5;S01;114.27
TX-100677;2016-02;4;S02;141.21
TX-100678;2027-11;2;S04;36.67
TX-100679;2041-06;8;S05;76.96
TX-100680;2019-08;2;S03;8.47
TX-100681;2034-07;7;S03;42.13
TX-100682;2036-01;1;S01;135.29
TX-100683;2037-04;8;S02;113.9
TX-100684;2036-12;5;S02;99.97
TX-100685;2036-10;2;S02;18.07
TX-100686;2039-06;6;S02;76.55
TX-100687;2024-02;1;S03;104.59
TX-100688;2018-12;8;S01;15.65
TX-100689;2034-11;6;S01;56.5
TX-100690;2023-03;2;S04;39.79
TX-100691;2025-02;3;S01;92.3
TX-100692;2022-03;6;S05;149.29
TX-100693;2026-12;5;S02;36.42
TX-100694;2020-12;1;S02;129.45
TX-100695;2021-09;8;S04;102.56
