Column1.period;Column1.ideac_index;Column1.unemployment_rate;Column1.underemployment_rate
2016-03;96.93;3.37;14.77
2016-03;108.82;5.48;22.31
   2016-03   ;107.64;NA;20.61
2016-04;103.15;4.7;15.23
02/04/2016;104.08;4.81;20.7
2016-04;109.04;5.99;20.72
2016-04;106.6;6.59;16.97
2016-04;105.69;3.57;22.03
06/04/2016;104.85;6.54;15.6
2016-04;96.88;6.23;17.83
2016-04;103.98;6.79;17.02
2016-04;102.19;5.88;16.86
2016-04;104.66;4.8;22.3
11/04/2016;105.93;4.57;16.62
2016-04;103.49;NA;17.61
2016-04;106.05;6.52;22.35
2016-04;107.56;4.58;17.49
2016-04;112.78;6.04;18.28
2016-04;109.82;4.51;19.47
2016-04;110.01;6.4;17.95
2016-04;108.59;4.51;16.11
2016-04;105.66;3.25;20.45
2016-04;102.27;3.64;16.91
21/04/2016;104.68;5.44;16.74
2016-04;112.65;5.52;18.45
2016-04;105.25;6.24;18.14
2016-04;103.71;3.87;18.25
2016-04;105.25;4.97;16.28
2016-04;101.94;3.32;18.33
2016-04;106.6;4.3;17.84
2016-04;104.7;4.89;19.35
29/04/2016;103.24;5.87;15.99
2016-04;95.7;5.02;18.46
2016-05;106.11;6.18;17.19
2016-05;107.78;5.82;16.27
03/05/2016;102.67;4.18;16.28
2016-05;106.81;3.9;15.77
2016-05;106.95;5.1;22.91
2016-05;104.35;5.12;22.15
2016-05;105.18;4.22;17.21
2016-05;102.17;4.23;17.4
2016-05;105.41;4.04;16.83
2016-05;100.41;4.23;20.9
2016-05;109.35;5.04;21.51
2016-05;106.89;6.13;17.28
2016-05;102.43;3.55;22.45
14/05/2016;105.67;3.84;16.6
2016-05;107.7;3.97;22.29
2016-05;104.63;6.36;21.98
2016-05;105.31;6.17;18.26
2016-05;98.51;5.26;19.49
2016-05;101.47;4.23;21.36
2016-05;106.14;4.81;15.54
2016-05;106.7;5.66;19.84
2016-05;101.31;3.89;19.21
2016-05;105.16;5.67;22.69
   2016-05   ;99.5;5.23;20.03
2016-05;107.48;4.75;17.81
2016-05;99.55;3.51;17.49
2016-05;110.04;3.46;20.05
2016-05;110.03;6.41;21.4
2016-05;109.31;3.59;16.07
2016-05;96.1;6.78;16.43
2016-05;102.12;6.09;14.82
   2016-06   ;113.16;4.16;20.25
2016-06;103.45;5.55;19.09
03/06/2016;94.87;5.13;14.91
2016-06;102.36;6.32;16.93
2016-06;102.65;5.16;19.36
2016-06;105.31;3.53;20.52
07/06/2016;107.48;6.08;17.78
2016-06;96.83;3.85;17.37
2016-06;107.21;6.59;21.61
2016-06;106.12;5.35;19.47
   2016-06   ;104.4;6.52;20.21
2016-06;103.95;5.98;21.95
2016-06;109.73;3.67;15.02
2016-06;109.07;3.44;14.82
2016-06;103.31;6.28;14.77
2016-06;106.92;4.61;15.81
2016-06;104.14;4.69;21.94
2016-06;108.2;6.18;20.53
19/06/2016;108.02;6.37;15.86
2016-06;102.9;3.36;18.47
2016-06;109.05;5.24;16.05
22/06/2016;106.85;3.96;21.43
2016-06;105.6;4.5;22.1
2016-06;105.57;NA;18.89
25/06/2016;101.85;4.9;20.37
   2016-06   ;103.21;5.15;21.1
   2016-06   ;102.83;5.16;19.38
2016-06;111.93;6.3;19.42
2016-06;106.93;4.28;21.82
2016-06;106.43;3.39;20.95
   2016-07   ;104.9;3.76;20.87
2016-07;99.88;3.21;19.82
2016-07;107.53;3.32;21.04
2016-07;100.34;5.19;20.75
05/07/2016;101.1;6.78;22.23
2016-07;103.54;6.67;16.61
2016-07;100.24;3.35;21.18
2016-07;101.16;5.76;15.66
2016-07;109.48;5.27;18.01
2016-07;101.81;6.21;21.52
2016-07;102.45;4.15;17.26
   2016-07   ;97.85;5.01;18.49
2016-07;105.29;5.85;17.65
2016-07;107.13;5.57;16.27
2016-07;105.56;NA;21.68
2016-07;105.15;6.31;21.34
2016-07;106.41;5.98;22.94
2016-07;105.72;3.54;20.77
19/07/2016;100.2;4.09;15.85
2016-07;97.14;NA;18.32
2016-07;104.3;4.44;18.19
   2016-07   ;112.15;5.29;17.62
2016-07;108.08;6.59;18.91
2016-07;104.01;5.18;22.26
2016-07;98.13;5.24;20.38
   2016-07   ;100.4;6.54;22.74
27/07/2016;103.53;6.8;15.01
2016-07;107.57;3.77;19.82
2016-07;104.36;5.22;19.58
2016-07;104.19;5.44;19.59
2016-07;103.65;4.71;18.82
2016-08;101.08;6.78;14.61
   2016-08   ;104.57;4.59;15.25
2016-08;105.17;6.35;19.39
2016-08;104.95;6.66;18.73
2016-08;103.01;6;15.07
2016-08;101.07;3.51;21.93
2016-08;107.11;5.26;21.76
2016-08;106.29;4.84;19.66
2016-08;97.25;6.31;15.99
2016-08;108.43;6.8;19.51
2016-08;99.46;3.25;20.94
2016-08;97.32;4.52;16.68
13/08/2016;96.69;3.56;22.9
2016-08;113.39;5.06;14.67
2016-08;101.8;6.43;16.79
2016-08;109.37;4.61;16.73
2016-08;104.44;5.77;14.79
2016-08;106.85;6.52;18.43
2016-08;107.02;4.5;19.82
2016-08;98.24;4.69;14.53
2016-08;98.11;3.39;16.47
22/08/2016;109.01;5.47;19.06
2016-08;103.16;5.58;15.3
   2016-08   ;98.59;4.02;21.18
2016-08;107.37;4.79;22.83
2016-08;102.25;3.62;20.4
27/08/2016;113.47;3.23;15.21
   2016-08   ;111.68;5.67;16.43
2016-08;105.61;4.48;19.14
   2016-08   ;102.59;5.77;22.85
31/08/2016;108.69;6.57;15.48
2016-09;106.57;5.86;21.19
2016-09;104.27;6.05;14.67
03/09/2016;110.76;4.19;21.56
2016-09;101.38;3.39;18.29
2016-09;105.2;3.73;17.11
2016-09;97.48;5.74;20.81
2016-09;102.46;4.4;19.33
2016-09;106.52;4.07;18.63
2016-09;108.62;4.19;22.88
2016-09;104.38;6.75;19.7
2016-09;103.6;5.58;17.11
2016-09;102.62;5.85;18.29
2016-09;106.11;3.8;16.1
   2016-09   ;106.31;5.54;15.56
15/09/2016;106.76;4.43;21.14
2016-09;101.87;5.33;18.07
2016-09;103.69;6.43;15.64
2016-09;111.97;4.33;15.71
   2016-09   ;101.59;5.7;17.11
2016-09;103.11;4.64;21.71
2016-09;110.12;NA;16.62
2016-09;100.6;3.72;16.46
2016-09;106.78;6.31;18.23
2016-09;109.48;5.26;20.15
2016-09;101.67;5.55;16.43
2016-09;106.92;3.68;14.79
2016-09;105.92;4.93;15.53
2016-09;101.25;4.04;16.09
2016-09;100.83;4.77;19.55
2016-09;101.08;3.26;16.67
2016-10;110.28;6.34;17.59
2016-10;97.32;5.67;17.89
03/10/2016;106.86;5.86;15.73
2016-10;105.51;6.1;20.62
2016-10;103.16;6;17.22
2016-10;105.42;5;19.56
2016-10;105.48;NA;19.8
08/10/2016;106.54;5.91;16.42
2016-10;107.24;5.73;17.27
2016-10;110.35;4.88;20.95
11/10/2016;104.37;3.38;17.33
2016-10;109.59;4.65;22.56
2016-10;111.99;4.79;19.58
2016-10;108.51;5.54;16.52
15/10/2016;99.61;6.34;17.48
16/10/2016;108.22;4.21;18.34
2016-10;100.1;6.63;15.56
18/10/2016;99.96;3.61;14.75
2016-10;99.9;5.78;15.94
20/10/2016;100.7;3.41;17.71
21/10/2016;100.95;NA;15.31
2016-10;114.21;5.96;21.96
2016-10;102.18;NA;20.52
2016-10;94.95;4.56;16.9
2016-10;101.27;3.23;22.1
2016-10;100.97;3.68;16.79
2016-10;111.39;5.39;16.29
2016-10;103.41;4.89;14.96
2016-10;101.68;6.72;21.36
2016-10;103.58;4.28;21.12
31/10/2016;110.83;5.81;19.59
2016-11;105.14;5.51;17.08
2016-11;106.47;3.41;21.39
2016-11;103.77;5.05;21.52
2016-11;105.83;5.7;14.75
05/11/2016;109.66;4.74;19.43
06/11/2016;103.74;3.65;15.5
2016-11;103.29;5.72;18.59
2016-11;103.54;6.26;22.76
09/11/2016;104.11;4.23;18.07
2016-11;105.86;NA;16.45
11/11/2016;105.52;5.84;22.71
2016-11;106.94;6.32;15.71
2016-11;100.48;5.53;17.77
2016-11;100.82;5.24;22.57
2016-11;111.23;3.25;21.12
   2016-11   ;105.34;4.54;14.89
2016-11;108.68;6.11;17.56
2016-11;114.39;3.94;15.34
   2016-11   ;112.28;5.2;19.4
2016-11;107.44;5.73;15.03
2016-11;108.41;5.95;19.77
22/11/2016;103.57;5.44;15.48
2016-11;101.69;4.32;17.19
2016-11;102.79;5.92;21.36
2016-11;104.01;4;15.69
2016-11;103.36;4.87;19.08
2016-11;101.12;5.76;16.52
2016-11;108.45;3.69;20.72
29/11/2016;105.25;5.53;22.29
2016-11;112.44;4.69;16.43
01/12/2016;103.25;5.5;14.93
2016-12;104.52;5.65;17.32
2016-12;104.95;5.21;20.42
2016-12;113.54;4.5;21.03
2016-12;108.28;3.69;18.22
2016-12;106.97;4.51;20.78
2016-12;109.78;6.58;17.03
2016-12;113.04;5.33;19.31
2016-12;106.75;6.01;16.78
10/12/2016;111.8;6.65;14.76
2016-12;111.33;6.22;22.98
2016-12;106.55;4.21;20.55
2016-12;106.46;5.9;15.77
2016-12;109.86;NA;16.71
2016-12;104.95;5.76;20.3
2016-12;109.38;3.56;17.51
   2016-12   ;105.98;3.8;18.06
2016-12;105.25;4.95;16.46
2016-12;106.09;4.01;16.19
2016-12;99.78;3.83;20.88
21/12/2016;106.27;6.24;17.77
   2016-12   ;103.29;5.81;17.84
2016-12;99.94;3.21;15.7
2016-12;98.03;5.19;20.11
2016-12;98.18;4.91;15.15
2016-12;98.49;4.47;21.33
2016-12;104.45;6.42;16.23
   2016-12   ;105.65;5.22;19.02
2016-12;97.33;3.53;21.13
2016-12;104.03;3.53;20.39
2016-12;104.55;5.67;17.88
01/01/2017;103.95;5.63;15.49
   2017-01   ;105.14;5.85;18.19
2017-01;109.03;5.77;17.66
   2017-01   ;110.21;5.8;16.25
2017-01;102.26;6.43;17.29
2017-01;111.94;5.38;17.9
   2017-01   ;112.05;5.83;19.81
2017-01;104.55;4.53;16.11
2017-01;100.41;6.41;18
2017-01;104.49;5.27;16.79
2017-01;103.79;3.47;18.55
2017-01;106.59;6.75;19.99
2017-01;102.83;6.59;21.1
2017-01;102.74;5.7;22.05
2017-01;100.87;3.44;18.88
   2017-01   ;102.56;5.44;16.23
2017-01;103.32;5.42;22.43
2017-01;104.61;5.89;16.35
   2017-01   ;112.86;6.1;16.64
2017-01;109.01;5.7;22.56
2017-01;100.35;6.29;21.57
2017-01;104.19;4.35;21.18
2017-01;109.15;4.43;15.13
2017-01;108.92;NA;14.64
   2017-01   ;103.11;3.64;19.74
26/01/2017;101.22;5.86;18.44
2017-01;104.19;5.16;22.32
2017-01;101.71;3.83;18.02
2017-01;110.39;3.23;19.05
2017-01;101.38;5.15;20.58
2017-01;103.31;4.61;16.38
01/02/2017;105.56;4.97;19.19
2017-02;101.73;6.45;22.07
2017-02;109.76;6.02;21.95
2017-02;100.66;3.92;16.81
2017-02;101.22;4.75;17.5
2017-02;106.21;3.41;17.12
2017-02;104.29;5.99;16.61
2017-02;99.53;4.97;19.22
2017-02;100.3;4.46;14.52
2017-02;101.02;6.28;20.2
2017-02;103.07;5.8;15.32
2017-02;105.27;5.55;22.66
2017-02;106.84;6.48;20.95
   2017-02   ;106.26;4.8;16.44
2017-02;108.71;5.33;19.71
2017-02;106.03;5.88;15.78
2017-02;102.73;4.88;15.18
2017-02;103.18;5.05;20.91
2017-02;98.71;3.69;19.77
2017-02;108.34;5.24;22.5
2017-02;107.1;4.41;18.97
   2017-02   ;110.6;3.99;15.61
2017-02;97.82;4.38;19.59
2017-02;109.85;4.35;22.36
2017-02;104.23;6.76;21.71
26/02/2017;109.38;4.56;16.97
2017-02;106.39;4.38;21.31
2017-02;99.16;4.45;17.94
2017-03;102.32;5.4;16.62
2017-03;99.87;3.23;21.86
2017-03;104.34;4.2;15.48
2017-03;99.26;4.6;22.69
05/03/2017;101.94;4.31;22.95
06/03/2017;104.05;5.93;19.35
2017-03;102.09;5.9;21.37
2017-03;106.62;4.48;14.77
2017-03;114.75;3.21;18.62
10/03/2017;108.7;5.3;20.79
2017-03;99.43;3.87;17.38
12/03/2017;112.45;6.8;17.69
2017-03;99.26;6.46;19.88
   2017-03   ;100.2;4.68;15.28
2017-03;108.16;4.6;14.62
2017-03;110.08;6.23;21.74
2017-03;106.55;6.21;22.68
2017-03;106.33;6.28;16.99
2017-03;109.37;3.68;18.09
2017-03;107.4;3.67;22.74
2017-03;108.22;3.86;22.12
2017-03;110.08;3.65;14.67
2017-03;106.65;3.84;16.49
2017-03;108.57;5.37;22.69
2017-03;108.02;3.56;21.54
26/03/2017;97.85;3.61;19.08
2017-03;108.19;4.35;22.24
2017-03;106.55;6.67;21.21
2017-03;102.58;3.94;20.99
2017-03;107.15;4.98;18.56
2017-03;103.94;3.82;16.81
2017-04;104.68;4.34;16.96
2017-04;105.6;6.38;15.6
03/04/2017;106.86;6.77;22.72
04/04/2017;97.66;5.24;16.46
2017-04;111.04;4.13;14.56
06/04/2017;108.88;5.52;19.18
2017-04;108.16;4.4;15.63
2017-04;106.14;4.52;15.4
2017-04;108.32;3.96;15.99
2017-04;105.46;3.86;19.46
2017-04;106.21;4.73;18.17
2017-04;107.89;5.57;22.87
2017-04;98.76;3.56;21.09
2017-04;110.12;5.25;16
15/04/2017;99.11;NA;21.29
2017-04;95.01;4.2;21.69
2017-04;108.88;4.47;15.77
2017-04;102.83;6.16;14.57
2017-04;108.55;4.02;19.44
20/04/2017;100.99;5.3;15.19
2017-04;102.4;4.83;21.34
2017-04;101.73;6.37;14.84
   2017-04   ;106.2;6.11;21.18
24/04/2017;108.01;4.25;16.19
2017-04;118.69;5.41;20.69
2017-04;107.53;6.32;14.56
2017-04;111.15;5.19;15.92
2017-04;114.54;6.6;22.96
29/04/2017;109.48;5.91;14.66
30/04/2017;106.91;5.3;18.65
01/05/2017;106.87;4.33;21.08
2017-05;103.97;4.47;18.83
2017-05;111.64;5.98;16.21
2017-05;110.16;4.16;15.33
2017-05;97.1;3.6;22.26
2017-05;101.41;5.67;18.57
2017-05;104.43;4.06;22.7
2017-05;97.5;4.21;22.22
2017-05;103.03;3.6;19.08
2017-05;108.97;5.68;14.56
11/05/2017;104.39;4.01;19.25
12/05/2017;111.3;4.32;19.51
2017-05;105.75;3.79;15.53
   2017-05   ;110.11;6.12;16.26
2017-05;96.91;5.41;22.23
2017-05;105.29;6.73;20.24
17/05/2017;106.34;6.43;18.29
2017-05;107.2;6.7;21.38
2017-05;104.75;5.89;18.36
2017-05;107.39;3.79;15.52
2017-05;102.1;4.05;21.68
2017-05;109.02;4.1;14.65
   2017-05   ;103.03;6.47;20.53
2017-05;112.26;5.7;18.53
2017-05;105.42;4.7;19.74
2017-05;104.25;6.04;15.41
2017-05;105.57;4.88;21.16
2017-05;106.2;3.48;19.3
   2017-05   ;99.53;3.87;21.86
2017-05;107.27;5.3;20.04
2017-05;115.15;4.55;20.76
01/06/2017;102.87;4.84;18.48
2017-06;108.2;4.03;16.8
2017-06;107.6;4.17;22.96
2017-06;99.07;5.76;20.16
   2017-06   ;103.14;4.29;21.14
2017-06;106.96;5.5;15.19
07/06/2017;106.6;5.91;16.31
2017-06;109.15;5.53;16.36
2017-06;106.96;4.03;15.89
2017-06;106.01;5.59;20.69
2017-06;108.24;3.55;14.82
2017-06;105.52;5.86;18.55
2017-06;102.76;5.37;22.66
2017-06;97.88;5.11;22.09
2017-06;102.85;4.97;16.1
2017-06;111.89;3.36;14.77
2017-06;109.61;3.52;19.57
   2017-06   ;99.06;6.51;15
2017-06;108.38;3.41;15.55
20/06/2017;102.94;3.72;18.29
2017-06;106.02;3.65;20.88
2017-06;102.48;3.86;15.49
2017-06;99.49;5.1;18.62
2017-06;107.37;4.22;14.56
25/06/2017;103.3;3.8;21.41
2017-06;107.38;6.72;22.09
27/06/2017;105.68;4.34;16.96
2017-06;109.15;5.4;16.02
2017-06;99.33;4.4;21.56
30/06/2017;113.91;5.01;21.06
2017-07;105.29;5.81;15.58
2017-07;98.87;4.43;20.31
2017-07;104.18;NA;22.41
04/07/2017;105.6;6.45;22.63
2017-07;105.72;4.16;14.95
2017-07;99.65;6.29;20.37
2017-07;104.03;6.06;19.48
2017-07;101.79;3.45;18.16
2017-07;100.03;6.64;20.15
2017-07;106.03;3.57;17.68
   2017-07   ;103.17;NA;22.05
2017-07;112.85;6.04;14.82
2017-07;99.61;4.98;22.43
2017-07;101.76;6.32;15.4
15/07/2017;102.24;3.77;18.97
   2017-07   ;102.24;6.18;21.33
2017-07;105.07;5.05;20.61
2017-07;106.21;3.41;21.58
2017-07;99.94;NA;17.61
2017-07;104.62;4.5;14.78
2017-07;105.13;4.32;22.48
2017-07;104.83;5.43;20.45
2017-07;100.92;5.25;16.21
2017-07;108;3.21;18.61
2017-07;101.97;6.45;19.22
2017-07;108.84;3.32;19.02
2017-07;97.26;5.65;20.01
2017-07;99.4;4.06;22.87
2017-07;105.6;5.9;19.38
   2017-07   ;107.42;5.04;18.09
2017-07;106.9;3.63;19.13
2017-08;107.74;4.12;19.08
2017-08;106.42;NA;20.38
03/08/2017;101.41;4.93;21.33
2017-08;104.2;6.45;17.01
2017-08;112.1;4.56;16.2
2017-08;98.15;5.56;15.35
   2017-08   ;103.48;5.57;17.57
2017-08;101.33;5.41;18.9
2017-08;107.9;5.72;21.11
10/08/2017;106.22;4.82;22.63
2017-08;105.81;4.88;22.24
2017-08;108.58;5.78;15.96
13/08/2017;104.98;6.28;19.04
2017-08;102.18;4.51;17.27
2017-08;102.47;3.48;22.59
2017-08;103.7;6.31;22.25
2017-08;102.92;5.38;21
2017-08;108.67;4.8;17.94
2017-08;110.21;6.02;16.96
   2017-08   ;105.34;3.54;17.33
2017-08;104.05;6.38;17.34
   2017-08   ;110.84;5.84;22.09
2017-08;108.64;6.2;17.93
2017-08;99.95;3.64;20.27
2017-08;116.6;6.65;18.74
2017-08;103.88;5.56;21.47
2017-08;106.44;5.24;16.59
2017-08;114.38;6.52;15.85
29/08/2017;102.72;6.08;22.91
2017-08;109.9;5.57;17.72
2017-08;106.95;6.78;15.58
01/09/2017;109.09;5.11;18.27
2017-09;104.56;5.91;22.2
2017-09;108.57;NA;21.22
2017-09;102.48;6.61;16.19
2017-09;102.75;3.8;18.13
   2017-09   ;103.96;4;22.43
2017-09;104.36;6.03;18.14
2017-09;109.89;3.7;17.05
2017-09;104.54;6.11;15.81
2017-09;107.24;6.3;18.26
2017-09;102.05;6.51;21.52
2017-09;104.49;4.6;16.16
2017-09;109.74;4.74;15.5
2017-09;101.06;4.15;17.89
2017-09;99.65;5.83;20.34
16/09/2017;107.81;3.39;16.18
2017-09;97.67;6.71;15.45
   2017-09   ;102.17;4.42;15.69
19/09/2017;105.97;4.83;17.14
2017-09;100.45;3.74;22.73
   2017-09   ;96.12;4.38;17.13
2017-09;101.01;3.84;16.98
2017-09;102.13;5.76;21.64
2017-09;107.09;NA;19.45
25/09/2017;104.73;6.3;16.36
2017-09;105.21;6.54;21.63
27/09/2017;98.67;6.65;20.65
28/09/2017;107.31;3.79;21.42
2017-09;110.16;3.95;17.45
2017-09;102.53;4.64;22.76
2017-10;103.84;4.11;14.9
   2017-10   ;108.81;4.7;19.84
2017-10;104.64;6.67;16.72
2017-10;104.95;5.05;21.01
2017-10;112.38;5.66;21.85
2017-10;101.96;5.51;19.26
   2017-10   ;111.6;4.24;17.1
   2017-10   ;103.54;5.6;17.16
2017-10;110.39;6.76;15.04
10/10/2017;105.82;3.32;19.73
2017-10;108.21;5.05;21.3
12/10/2017;105.45;5.94;16.56
2017-10;101.27;5.25;18.37
14/10/2017;106.55;4.58;16.12
2017-10;101.65;NA;17.21
2017-10;101.36;4.96;16.57
2017-10;101.67;3.51;18.38
2017-10;105.58;6.41;18.23
2017-10;95.28;4.02;19.62
20/10/2017;107.74;4.48;15.65
   2017-10   ;100.28;5.17;20.85
2017-10;104.76;5.15;15.94
2017-10;114.22;5.72;14.86
2017-10;103.13;5.21;15.67
2017-10;104.46;5.47;15.75
2017-10;101.15;3.37;18.12
2017-10;107.58;NA;22.63
2017-10;107.58;4.91;19.16
   2017-10   ;108.28;6.02;18.92
2017-10;103.69;NA;20.73
31/10/2017;102.62;5.27;18.61
2017-11;105.4;5.6;15.38
02/11/2017;101.66;NA;21.75
2017-11;102.08;3.21;15.75
2017-11;97.28;5.94;15
2017-11;97.9;3.45;19.6
06/11/2017;101.91;6.58;15.54
2017-11;102.55;6.26;20.36
   2017-11   ;100.34;4.35;22.94
2017-11;101.21;3.42;15.7
   2017-11   ;106.03;4.21;17.46
2017-11;105.27;3.84;18.55
2017-11;114.08;4.11;15.02
2017-11;106.44;4.05;18.74
2017-11;104.67;5.59;21.82
15/11/2017;106.08;5.29;19.21
2017-11;101.86;5.13;21.16
2017-11;108.33;5.5;19.72
2017-11;101.33;5.82;16.09
2017-11;94.8;5.02;16.06
2017-11;103.26;5.66;15.03
21/11/2017;109.25;4.29;19.85
2017-11;99.99;5.67;19.42
2017-11;107.52;3.46;21.01
2017-11;100.88;4.22;19.71
25/11/2017;109.81;5.27;18.92
2017-11;108.04;6.76;20.84
2017-11;103.67;3.4;17.22
2017-11;114.03;5.67;22.84
2017-11;111.32;4.73;16.05
2017-11;106.29;3.29;20.87
01/12/2017;104.52;4.17;14.86
2017-12;98.59;6.09;18.37
2017-12;107;3.28;14.86
2017-12;109.05;3.46;21.67
   2017-12   ;104.43;3.89;19.7
2017-12;107.79;6.53;15.72
2017-12;109.21;5.29;14.55
2017-12;107.8;3.61;18.06
2017-12;113.6;3.61;21.23
2017-12;106.36;3.52;17.42
2017-12;100.76;5.55;21.05
2017-12;110.93;6.69;21.83
2017-12;102.92;6.58;17.89
2017-12;103.72;4.38;20.39
2017-12;103.18;6.08;22.47
   2017-12   ;103.82;NA;17.79
2017-12;112.24;3.97;18.17
2017-12;103.38;5.13;16.78
2017-12;104.51;3.42;16.17
2017-12;106.53;6.68;19.82
21/12/2017;102.96;3.64;18.13
2017-12;101.27;6.53;20.37
2017-12;101.83;NA;22
2017-12;105.9;5.47;18.98
2017-12;111.88;3.41;18.27
26/12/2017;100.47;4.67;19.48
2017-12;104.75;3.45;20.02
2017-12;108.71;6.36;22.68
29/12/2017;99.64;6.73;22.9
2017-12;104.6;5.11;22.5
31/12/2017;105.57;4.34;20.24
2018-01;115.95;6.57;22.47
2018-01;103.65;3.49;15.94
2018-01;107.71;4.8;21.7
2018-01;105.11;4.36;22.18
05/01/2018;99.08;6.34;16.94
2018-01;107.31;5.27;19.01
2018-01;112.13;3.37;16.62
2018-01;109.87;4.68;20.4
2018-01;96.66;3.45;17.46
2018-01;106.7;3.9;22.18
2018-01;97.02;6.53;20.81
2018-01;103.9;4.53;19.88
2018-01;102.08;4.9;22.59
2018-01;106.36;3.4;18.57
2018-01;104.65;5.01;22.64
2018-01;101.57;4.14;19
   2018-01   ;107.78;5.78;19.97
   2018-01   ;104.2;3.2;20.2
19/01/2018;105.1;4.29;21.15
2018-01;102.08;NA;20.76
2018-01;104.25;NA;19.89
2018-01;104.55;5.98;15.12
2018-01;104.89;3.37;17.68
2018-01;101.37;4.81;15.05
2018-01;103.99;NA;19.66
2018-01;96.35;5;15.87
2018-01;103.64;3.87;22.45
28/01/2018;100.14;6.72;18.63
2018-01;103.71;4.44;19.61
2018-01;97.38;5.14;21.52
2018-01;106.29;3.32;17.94
2018-02;109.48;5.42;22.04
   2018-02   ;108.04;5.23;21.04
2018-02;104.47;6.75;15.02
2018-02;104.02;3.27;17.73
2018-02;105.46;3.77;16.6
06/02/2018;104.6;6.67;20.95
2018-02;103.73;3.92;15.01
2018-02;103.58;4.94;21.04
2018-02;102.49;5.07;17.48
   2018-02   ;113.76;4.37;17.64
2018-02;112.06;3.58;20.83
2018-02;106.27;4.95;22.22
2018-02;106.38;6.47;15.93
2018-02;102.45;6.57;15.38
2018-02;98.95;5.27;18.83
2018-02;108.57;4.04;22.62
2018-02;105.36;4.26;16.23
2018-02;101.23;5.82;15.34
2018-02;110.46;6.1;22.67
20/02/2018;106.59;NA;19.05
   2018-02   ;102.71;5.13;22.88
2018-02;106.84;4.14;20.13
2018-02;101.15;4.79;21.12
24/02/2018;109.88;4.51;14.81
2018-02;109.2;4.23;16.2
2018-02;109.63;4.67;18.32
2018-02;104.73;6.74;20.56
2018-02;105.29;3.47;15.6
2018-03;103.54;5.4;17.29
2018-03;103.91;4.87;17.48
2018-03;119.06;NA;17.27
2018-03;100.49;6.3;15.1
2018-03;109.58;6.49;22.85
2018-03;94.73;4.18;17.89
   2018-03   ;102.28;3.94;15.83
2018-03;105.88;5.82;18.32
